107-7149-5739,5,2023-11-09 13:33:38.730000 UTC
193-5923-2285,5,2023-11-09 13:33:33.893000 UTC
193-5923-2195,44,2023-11-09 13:30:47.520000 UTC
107-7149-5597,5,2023-11-09 13:29:11.010000 UTC
21-8230-9931,5,2023-11-09 13:28:25.383000 UTC
193-5923-2046,5,2023-11-09 13:25:32.400000 UTC
107-7149-5468,5,2023-11-09 13:24:33.860000 UTC
107-7149-5452,5,2023-11-09 13:24:04.440000 UTC
107-7149-5403,44,2023-11-09 13:22:06.193000 UTC
107-7149-5398,5,2023-11-09 13:21:59.140000 UTC
21-8230-9738,5,2023-11-09 13:21:27.683000 UTC
21-8230-9665,44,2023-11-09 13:18:38.267000 UTC
193-5923-1735,44,2023-11-09 13:14:07.933000 UTC
21-8230-9455,5,2023-11-09 13:10:44.390000 UTC
21-8230-9437,11,2023-11-09 13:09:56.210000 UTC
21-8230-9261,5,2023-11-09 13:02:46.647000 UTC
21-8230-9210,5,2023-11-09 13:00:34.013000 UTC
21-8230-9190,44,2023-11-09 12:59:47.853000 UTC
107-7149-4753,5,2023-11-09 12:57:01.287000 UTC
107-7149-4738,11,2023-11-09 12:56:14.357000 UTC
193-5923-1128,11,2023-11-09 12:50:11.437000 UTC
193-5923-1095,44,2023-11-09 12:48:39.777000 UTC
107-7149-4403,44,2023-11-09 12:42:43.650000 UTC
107-7149-4377,44,2023-11-09 12:41:25.253000 UTC
21-8230-8665,44,2023-11-09 12:37:46.347000 UTC
21-8230-8660,44,2023-11-09 12:37:31.617000 UTC
21-8230-8597,5,2023-11-09 12:34:17.250000 UTC
21-8230-8545,44,2023-11-09 12:31:46.363000 UTC
193-5923-0705,44,2023-11-09 12:30:33.940000 UTC
193-5923-0582,44,2023-11-09 12:24:03.340000 UTC
21-8230-8347,44,2023-11-09 12:21:53.873000 UTC
193-5923-0479,44,2023-11-09 12:18:47.907000 UTC
21-8230-8276,5,2023-11-09 12:18:13.500000 UTC
193-5923-0173,5,2023-11-09 12:01:37.593000 UTC
107-7149-3561,44,2023-11-09 11:58:02.047000 UTC
21-8230-7875,44,2023-11-09 11:54:29.287000 UTC
21-8230-7860,5,2023-11-09 11:53:10.270000 UTC
193-5923-0021,5,2023-11-09 11:51:34.857000 UTC
193-5923-0017,5,2023-11-09 11:51:28.523000 UTC
193-5922-9861,11,2023-11-09 11:41:38.400000 UTC
193-5922-9822,44,2023-11-09 11:39:16.117000 UTC
107-7149-3273,5,2023-11-09 11:38:58.710000 UTC
21-8230-7605,44,2023-11-09 11:37:24.707000 UTC
107-7149-3182,5,2023-11-09 11:32:55.860000 UTC
21-8230-7526,11,2023-11-09 11:31:55.833000 UTC
21-8230-7512,5,2023-11-09 11:30:46.163000 UTC
193-5922-9674,44,2023-11-09 11:28:40.827000 UTC
193-5922-9579,5,2023-11-09 11:21:39.573000 UTC
107-7149-2949,44,2023-11-09 11:14:49.357000 UTC
193-5922-9399,5,2023-11-09 11:07:13.577000 UTC
193-5922-9356,5,2023-11-09 11:03:27.617000 UTC
107-7149-2777,11,2023-11-09 11:00:15.420000 UTC
107-7149-2774,44,2023-11-09 11:00:01.220000 UTC
193-5922-9119,11,2023-11-09 10:41:33.917000 UTC
21-8230-6923,44,2023-11-09 10:40:46.797000 UTC
193-5922-9096,44,2023-11-09 10:39:42.473000 UTC
21-8230-6871,44,2023-11-09 10:35:39.197000 UTC
193-5922-9048,44,2023-11-09 10:35:04.710000 UTC
193-5922-8940,44,2023-11-09 10:23:54.900000 UTC
193-5922-8812,11,2023-11-09 10:09:57.353000 UTC
21-8230-6621,5,2023-11-09 10:08:44.220000 UTC
193-5922-8711,5,2023-11-09 09:58:06.367000 UTC
107-7149-2119,7,2023-11-09 09:53:51.127000 UTC
107-7149-1929,44,2023-11-09 09:30:02.973000 UTC
21-8230-6289,11,2023-11-09 09:28:57.823000 UTC
107-7149-1917,11,2023-11-09 09:28:49.770000 UTC
193-5922-8460,5,2023-11-09 09:27:38.420000 UTC
107-7149-1672,5,2023-11-09 08:58:55.387000 UTC
